document_id,equipment_id,eqnet_equipment_id,org_name,prefecture_before,prefecture_after,region_before,region_after,prefecture_source,match_mode,matched_org_name
eqnet-1122,eqnet-1122,1122,北陸先端科学技術大学院大学 マテリアルサイエンス系,,石川県,,中部,eqnet_org_map,prefix,北陸先端科学技術大学院大学
eqnet-1123,eqnet-1123,1123,北陸先端科学技術大学院大学 マテリアルサイエンス系,,石川県,,中部,eqnet_org_map,prefix,北陸先端科学技術大学院大学
eqnet-1124,eqnet-1124,1124,北陸先端科学技術大学院大学 マテリアルサイエンス系,,石川県,,中部,eqnet_org_map,prefix,北陸先端科学技術大学院大学
eqnet-1125,eqnet-1125,1125,北陸先端科学技術大学院大学 マテリアルサイエンス系,,石川県,,中部,eqnet_org_map,prefix,北陸先端科学技術大学院大学
eqnet-1127,eqnet-1127,1127,北陸先端科学技術大学院大学 マテリアルサイエンス系,,石川県,,中部,eqnet_org_map,prefix,北陸先端科学技術大学院大学
eqnet-1128,eqnet-1128,1128,北陸先端科学技術大学院大学 マテリアルサイエンス系,,石川県,,中部,eqnet_org_map,prefix,北陸先端科学技術大学院大学
eqnet-113,eqnet-113,113,長崎大学 研究開発推進機構,,長崎県,,九州,eqnet_org_map,prefix,長崎大学
eqnet-1131,eqnet-1131,1131,北陸先端科学技術大学院大学 マテリアルサイエンス系,,石川県,,中部,eqnet_org_map,prefix,北陸先端科学技術大学院大学
eqnet-1135,eqnet-1135,1135,北陸先端科学技術大学院大学 マテリアルサイエンス系,,石川県,,中部,eqnet_org_map,prefix,北陸先端科学技術大学院大学
eqnet-1137,eqnet-1137,1137,北陸先端科学技術大学院大学 マテリアルサイエンス系,,石川県,,中部,eqnet_org_map,prefix,北陸先端科学技術大学院大学
eqnet-1145,eqnet-1145,1145,岡山大学 自然生命科学研究支援センター 分析計測分野,,岡山県,,中国,eqnet_org_map,prefix,岡山大学
eqnet-1148,eqnet-1148,1148,広島大学 学術・社会産学連携室(社会連携) ひろしま医工連携・先進医療イノベーション拠点,,広島県,,中国,eqnet_org_map,prefix,広島大学
eqnet-1169,eqnet-1169,1169,広島大学 半導体産業技術研究所,,広島県,,中国,eqnet_org_map,prefix,広島大学
eqnet-1170,eqnet-1170,1170,広島大学 半導体産業技術研究所,,広島県,,中国,eqnet_org_map,prefix,広島大学
eqnet-1171,eqnet-1171,1171,広島大学 半導体産業技術研究所,,広島県,,中国,eqnet_org_map,prefix,広島大学
eqnet-1172,eqnet-1172,1172,広島大学 半導体産業技術研究所,,広島県,,中国,eqnet_org_map,prefix,広島大学
eqnet-1173,eqnet-1173,1173,広島大学 半導体産業技術研究所,,広島県,,中国,eqnet_org_map,prefix,広島大学
eqnet-1174,eqnet-1174,1174,広島大学 半導体産業技術研究所,,広島県,,中国,eqnet_org_map,prefix,広島大学
eqnet-1175,eqnet-1175,1175,広島大学 半導体産業技術研究所,,広島県,,中国,eqnet_org_map,prefix,広島大学
eqnet-1176,eqnet-1176,1176,広島大学 先進理工系科学研究科 輸送・環境システムプログラム 耐空耐航性能研究室,,広島県,,中国,eqnet_org_map,prefix,広島大学
eqnet-1177,eqnet-1177,1177,山口大学 総合科学実験センター 機器分析実験施設,,山口県,,中国,eqnet_org_map,prefix,山口大学
eqnet-1178,eqnet-1178,1178,山口大学 総合科学実験センター 機器分析実験施設,,山口県,,中国,eqnet_org_map,prefix,山口大学
eqnet-1179,eqnet-1179,1179,山口大学 総合科学実験センター 機器分析実験施設,,山口県,,中国,eqnet_org_map,prefix,山口大学
eqnet-1180,eqnet-1180,1180,山口大学 総合科学実験センター 機器分析実験施設,,山口県,,中国,eqnet_org_map,prefix,山口大学
eqnet-1181,eqnet-1181,1181,山口大学 総合科学実験センター 遺伝子実験施設,,山口県,,中国,eqnet_org_map,prefix,山口大学
eqnet-1182,eqnet-1182,1182,山口大学 総合科学実験センター 遺伝子実験施設,,山口県,,中国,eqnet_org_map,prefix,山口大学
eqnet-1183,eqnet-1183,1183,山口大学 総合科学実験センター 遺伝子実験施設,,山口県,,中国,eqnet_org_map,prefix,山口大学
eqnet-1184,eqnet-1184,1184,大阪大学 工学研究科 工学研究科室 分析センター,,大阪府,,関西,eqnet_org_map,prefix,大阪大学
eqnet-1185,eqnet-1185,1185,大阪大学 工学研究科 工学研究科室 分析センター,,大阪府,,関西,eqnet_org_map,prefix,大阪大学
eqnet-1186,eqnet-1186,1186,大阪大学 工学研究科 工学研究科室 分析センター,,大阪府,,関西,eqnet_org_map,prefix,大阪大学
eqnet-1190,eqnet-1190,1190,名古屋大学 大学院工学研究科 化学・生物工学専攻 応用計測化学,,愛知県,,中部,eqnet_org_map,prefix,名古屋大学
eqnet-1192,eqnet-1192,1192,名古屋大学 未来社会創造機構,,愛知県,,中部,eqnet_org_map,prefix,名古屋大学
