doc_id,equipment_id,name,org_name,eqnet_equipment_id,status,before_general,before_detail,new_general,new_detail,category_changed,fallback
BC1bDdEtyvmUs8KbGXeM,BC1bDdEtyvmUs8KbGXeM,倒立顕 微 鏡,大分大学 医学部 バイオラボセンター,,fallback,バイオラボセンター,,その他,バイオラボセンター,True,True
BCNZEnFCELjnkPLaXQ5W,TSUKUBA-188,TEM試料作製,筑波大学 オープンファシリティー推進機構,,fallback,専用測定装置,,その他,専用測定装置,True,True
BDSjJXZxPFnTSc9fC71g,KYUSHU-xtalab,二波長線源型高分解能単結晶X線構造解析装置,九州大学 人間環境学研究院部局管理装置,3897,matched,,,構造解析/元素分析,X線回折装置(XRD),True,False
BE9FgatXIcjffSh4zeNk,BE9FgatXIcjffSh4zeNk,ホットプレートスターラー,神戸大学 研究基盤センター 機器分析部門,,fallback,機器分析部門,試料作製室,その他,機器分析部門 / 試料作製室,True,True
BFo9GHf3o1nUWDUduTgA,NITECH-sc-701mc,白金パラジウムコーター,名古屋工業大学,,fallback,分析装置・機器紹介,X線マイクロアナライザー室,その他,分析装置・機器紹介 / X線マイクロアナライザー室,True,True
BFvtnTNPgB99nPHQk02X,BFvtnTNPgB99nPHQk02X,超音波熱圧着ディープアクセスウエッジワイヤーボンダー,京都大学 工学部・大学院工学研究科,,fallback,電気系,,その他,電気系,True,True
BG07nBNvkxGlow5WW4Q8,TOHOKU-023,[023]高精密質量分析装置(2),東北大学,,fallback,分析,質量分析,その他,分析 / 質量分析,True,True
BG0BArGuXIzjovdGzSHA,NIMS-148-NF0203,強磁場光学測定システム,物質・材料研究機構 NIMS Open Facility,,fallback,分析・計測,強磁場計測,その他,分析・計測 / 強磁場計測,True,True
BGks7pq00gLVpTBwgvDp,BGks7pq00gLVpTBwgvDp,集束イオンビーム・走査型電子顕微鏡加工観察装置 JIB-4600F他,京都大学 工学部・大学院工学研究科,,fallback,化学系 コアラボ,,その他,化学系 コアラボ,True,True
BHI5QBXec5VrAcxpXabJ,AIST-MEMS011,Si 酸化膜プラズマCVD 装置,産業技術総合研究所,,fallback,加工,,その他,加工,True,True
BHcSnDQKnANFnuffOgP1,BHcSnDQKnANFnuffOgP1,リアクテブイオンエッチング装置,東京工業大学,,fallback,半導体・MEMS加工,前工程装置 / エッチング装置,その他,半導体・MEMS加工 / 前工程装置 / エッチング装置,True,True
BIvxH8g9FtH8w031Vv6m,NITECH-jsm-it210a,走査電子顕微鏡(W-SEM),名古屋工業大学,,fallback,分析装置・機器紹介,FIB-SEM室,その他,分析装置・機器紹介 / FIB-SEM室,True,True
BJ2eIt4ZDB7IztBMC9SF,YAMAGUCHI-etc74,ケミルミイメージングシステム,山口大学 リサーチファシリティマネジメントセンター,,fallback,画像撮影/解析,その他主要機器,その他,画像撮影/解析 / その他主要機器,True,True
BJJKzUqDsgyczOvRcXWQ,RYUKYU-277,【研基セ】エネルギー分散型蛍光X線分析装置(EDX-XRF),琉球大学 研究基盤統括センター,,fallback,分析機器,,その他,分析機器,True,True
BJU3bmvD22hFGnbz1Mx0,BJU3bmvD22hFGnbz1Mx0,トライブリッド質量分析計 (Orbitrap Eclipse),広島大学 自然科学研究支援開発センター 機器共用・分析部門,5159,matched,質量分析計(MS),,質量分析装置(MS),ハイブリッドTOF-MS,True,False
BJoZqa47N8rtUiUUEiLW,BJoZqa47N8rtUiUUEiLW,レーザー解析式粒度分布測定装置,東京工業大学,,fallback,計測・測定,- / -,その他,計測・測定 / - / -,True,True
BKHeqqJShugYVROtOoG4,BKHeqqJShugYVROtOoG4,高分子分析システム(GPC),鳥取大学 共同利用設備,,fallback,クロマト系分析,,その他,クロマト系分析,True,True
BLClIkY4tEpN6XpJsndC,TSUKUBA-354,(ARIM)データ解析用PC,筑波大学 オープンファシリティー推進機構,,fallback,専用測定装置,,その他,専用測定装置,True,True
BLRnZ5v6ckdDjScLg59Y,BLRnZ5v6ckdDjScLg59Y,BL-9A High-intensity and Low-energy XAFS,高エネルギー加速器研究機構 Photon Factory,,fallback,ビームライン,,その他,ビームライン,True,True
BLl59tDVo0TI1vWbDR4X,HOKUDAI-AP-901664,クリーンラック,北海道大学,,fallback,周辺設備_HU (Peripheral Equipment),None,その他,周辺設備_HU (Peripheral Equipment) / None,True,True
BLlfihmiBfTfN0h3jSpk,TOHOKU-384,[384]Helios600i FIB/SEMデュアルビームシステム,東北大学,,fallback,観察,FIB,その他,観察 / FIB,True,True
