doc_id,doi,source,status,error
0sAnHwWgZA5qbQyC8JvU,10.1007/s11657-025-01644-y,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
0sfCM7NRXzPmCJmcbuJf,10.1080/15384047.2025.2603095,openalex,ready,
0sfCM7NRXzPmCJmcbuJf,10.1186/s13550-025-01351-2,openalex,ready,
0sfCM7NRXzPmCJmcbuJf,10.1038/s41598-025-33737-6,crossref,ready,
0ucSIO8QEqaZZfSwMU7S,10.1007/s00467-025-06957-1,openalex,ready,
0ucSIO8QEqaZZfSwMU7S,10.1186/s12882-025-04676-1,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
0ucSIO8QEqaZZfSwMU7S,10.1186/s12882-025-04634-x,openalex,ready,
0uoLTv9GQAICDsKpLxS2,10.1038/s42004-025-01839-x,openalex,ready,
0uoLTv9GQAICDsKpLxS2,10.1007/s12104-025-10251-4,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
0uoLTv9GQAICDsKpLxS2,10.1038/s41598-025-28860-3,openalex,ready,
0vdJIerePzA7Cd70FX8n,10.1080/10872981.2026.2616194,openalex,ready,
0vdJIerePzA7Cd70FX8n,10.12957/redp.2026.90910,fallback,fallback,elsevier_abstract_missing | openalex_not_found | crossref_not_found
0vdJIerePzA7Cd70FX8n,10.1364/jocn.575280,openalex,ready,
0vrDi9jEZKNdFgrfbiKu,10.31127/tuje.1614119,openalex,ready,
0vrDi9jEZKNdFgrfbiKu,10.31127/tuje.1763321,openalex,ready,
0vrDi9jEZKNdFgrfbiKu,10.31127/tuje.1713826,openalex,ready,
0vyvWyQC43oL1FAhq32B,10.1016/j.vaccine.2025.127888,openalex,ready,
0vyvWyQC43oL1FAhq32B,10.1016/j.slast.2025.100368,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
0vyvWyQC43oL1FAhq32B,10.1016/j.ymeth.2025.10.002,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
0wPvV4sE549HP2A0CGQi,10.31643/2027/6445.10,openalex,ready,
0wPvV4sE549HP2A0CGQi,10.1080/19490976.2025.2601430,openalex,ready,
0wPvV4sE549HP2A0CGQi,10.1080/17441692.2025.2612452,openalex,ready,
0xXTtfvxNlgRlfUzIKsO,10.1016/j.biomaterials.2025.123700,openalex,ready,
0xXTtfvxNlgRlfUzIKsO,10.1016/j.bbrc.2026.153272,openalex,ready,
0xXTtfvxNlgRlfUzIKsO,10.1021/acs.jafc.5c12620,openalex,ready,
0yjXamEfnEjP1wr9FZmz,10.1038/s41598-025-24541-3,openalex,ready,
0yjXamEfnEjP1wr9FZmz,10.1038/s41598-025-31242-4,openalex,ready,
0yjXamEfnEjP1wr9FZmz,10.1038/s41598-025-28866-x,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
0zuGjoc6Qm8SFn0ScQRO,10.31643/2027/6445.08,openalex,ready,
0zuGjoc6Qm8SFn0ScQRO,10.1080/15476278.2025.2575599,openalex,ready,
0zuGjoc6Qm8SFn0ScQRO,10.31127/tuje.1804146,openalex,ready,
10DElzBDQ2RjUiGjXOXL,10.1186/s12984-025-01758-x,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
10DElzBDQ2RjUiGjXOXL,10.1038/s41467-025-67313-3,crossref,ready,
10DElzBDQ2RjUiGjXOXL,10.1038/s41467-025-65366-y,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
10od1xQCAcpgus7uhBgi,10.1186/s42523-025-00503-y,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
10od1xQCAcpgus7uhBgi,10.1007/s11657-025-01644-y,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
10od1xQCAcpgus7uhBgi,10.1186/s12891-025-09382-5,openalex,ready,
11wM34fJblmrVWuI1f3W,10.31643/2027/6445.08,openalex,ready,
11wM34fJblmrVWuI1f3W,10.1080/19490976.2025.2611645,openalex,ready,
11wM34fJblmrVWuI1f3W,10.19139/soic-2310-5070-2838,openalex,ready,
14fs2yDkne7h4YrUgeGr,10.31643/2027/6445.06,openalex,ready,
14fs2yDkne7h4YrUgeGr,10.31643/2027/6445.08,openalex,ready,
14fs2yDkne7h4YrUgeGr,10.1080/19490976.2025.2611543,openalex,ready,
14lPjsdnWlNxXB4v7pt0,10.31643/2027/6445.08,openalex,ready,
14lPjsdnWlNxXB4v7pt0,10.31729/jnma.v64i293.9282,openalex,ready,
14lPjsdnWlNxXB4v7pt0,10.1080/15476278.2025.2575599,openalex,ready,
14rIojvxm5PuFJCrmkVq,10.1038/s41598-025-30304-x,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
14rIojvxm5PuFJCrmkVq,10.1038/s41598-025-30438-y,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
14rIojvxm5PuFJCrmkVq,10.1007/s42399-025-02237-z,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
17TxDa0xwABCpg3ytRA1,10.1007/s00701-025-06750-x,openalex,ready,
17TxDa0xwABCpg3ytRA1,10.1038/s44298-025-00167-0,crossref,ready,
17TxDa0xwABCpg3ytRA1,10.1186/s12884-025-08511-1,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
17Z4ydqRJK2Xt3ht83jC,10.1038/s42004-025-01839-x,openalex,ready,
17Z4ydqRJK2Xt3ht83jC,10.1007/s12104-025-10251-4,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
17Z4ydqRJK2Xt3ht83jC,10.1038/s41598-025-28860-3,openalex,ready,
18DvPw67tvAXVJmbg1zr,10.1038/s41598-025-31592-z,openalex,ready,
18DvPw67tvAXVJmbg1zr,10.1038/s41598-025-32265-7,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
18DvPw67tvAXVJmbg1zr,10.1186/s12889-025-25597-6,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
18cD1j5XZicI937DXdd6,10.1038/s41467-025-67303-5,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
18cD1j5XZicI937DXdd6,10.1038/s41467-025-67376-2,openalex,ready,
18cD1j5XZicI937DXdd6,10.1038/s41467-025-65861-2,crossref,ready,
18mn7GFnU1Dr9kPnwSP3,10.1186/s40345-025-00404-8,crossref,ready,
18mn7GFnU1Dr9kPnwSP3,10.1038/s41398-025-03753-1,openalex,ready,
18mn7GFnU1Dr9kPnwSP3,10.1186/s13063-025-09272-0,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
19R4YvX3KuxiIQjACLDA,10.1038/s41467-025-67062-3,openalex,ready,
19R4YvX3KuxiIQjACLDA,10.1186/s44149-025-00211-9,openalex,ready,
19R4YvX3KuxiIQjACLDA,10.1007/s11220-025-00710-6,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
19xtBShEffIS0kSr92nK,10.1186/s42523-025-00503-y,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
19xtBShEffIS0kSr92nK,10.1007/s11657-025-01644-y,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
19xtBShEffIS0kSr92nK,10.1186/s12891-025-09382-5,openalex,ready,
1AVt3lS0mwwzneCJc2Fj,10.12957/redp.2026.90910,fallback,fallback,elsevier_abstract_missing | openalex_not_found | crossref_not_found
1AVt3lS0mwwzneCJc2Fj,10.19139/soic-2310-5070-3032,openalex,ready,
1AVt3lS0mwwzneCJc2Fj,10.31127/tuje.1804146,openalex,ready,
1BIJIW3QrDiI6yqIxbe3,10.1080/19490976.2025.2609461,openalex,ready,
1BIJIW3QrDiI6yqIxbe3,10.12957/redp.2026.95756,fallback,fallback,elsevier_abstract_missing | openalex_not_found | crossref_not_found
1BIJIW3QrDiI6yqIxbe3,10.12957/redp.2026.91713,fallback,fallback,elsevier_abstract_missing | openalex_not_found | crossref_not_found
1CVS8L28rF0CmZZb2B5F,10.31643/2027/6445.08,openalex,ready,
1CVS8L28rF0CmZZb2B5F,10.1080/15476278.2025.2575599,openalex,ready,
1CVS8L28rF0CmZZb2B5F,10.31127/tuje.1804146,openalex,ready,
1Cp2ZvYlXg1LXVblWySf,10.1186/s13287-025-04834-0,openalex,ready,
1Cp2ZvYlXg1LXVblWySf,10.1007/s10856-025-06984-2,openalex,ready,
1Cp2ZvYlXg1LXVblWySf,10.1038/s41467-025-68134-0,crossref,ready,
1D13S9JXQOogLw1QYEme,10.1186/s13027-025-00720-9,crossref,ready,
1D13S9JXQOogLw1QYEme,10.1007/s00423-025-03946-8,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
1D13S9JXQOogLw1QYEme,10.1186/s40691-025-00451-w,openalex,ready,
1HM0TVXyYopXAmOIK2di,10.1038/s41467-025-67157-x,openalex,ready,
1HM0TVXyYopXAmOIK2di,10.1007/s10142-025-01752-5,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
1HM0TVXyYopXAmOIK2di,10.1016/j.jeurceramsoc.2025.118122,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
1HNRX4K9YTrJqSiAXGHx,10.31643/2027/6445.07,openalex,ready,
1HNRX4K9YTrJqSiAXGHx,10.1007/s10143-025-04016-9,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
1HNRX4K9YTrJqSiAXGHx,10.1038/s41467-025-67413-0,openalex,ready,
1HtBkxqJphAwViRS5Hzr,10.1186/s40658-025-00816-6,crossref,ready,
1HtBkxqJphAwViRS5Hzr,10.1186/s13550-025-01353-0,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
1HtBkxqJphAwViRS5Hzr,10.1186/s13550-025-01340-5,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
1LsPsu2POKWU3umVtwHl,10.1186/s44147-025-00847-x,crossref,ready,
1LsPsu2POKWU3umVtwHl,10.1038/s41598-025-31317-2,openalex,ready,
1LsPsu2POKWU3umVtwHl,10.22036/pcr.2025.540201.2722,fallback,fallback,elsevier_abstract_missing | openalex_not_found | crossref_not_found
1OldRKTU4L8woPydKKA2,10.31643/2027/6445.06,openalex,ready,
1OldRKTU4L8woPydKKA2,10.31643/2027/6445.08,openalex,ready,
1OldRKTU4L8woPydKKA2,10.1080/19490976.2025.2611543,openalex,ready,
1Q379Eu9aEx2gwrIUVPS,10.1016/j.ntm.2025.100110,openalex,ready,
1Q379Eu9aEx2gwrIUVPS,10.1186/s12885-025-15244-z,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
1Q379Eu9aEx2gwrIUVPS,10.1007/s10142-025-01793-w,openalex,ready,
1QXJatzkjW4hOgzXRl7K,10.1016/j.apcatb.2025.126294,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
1QXJatzkjW4hOgzXRl7K,10.1016/j.apcatb.2025.126112,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
1QXJatzkjW4hOgzXRl7K,10.1016/j.ultras.2025.107887,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
1RY8i59hsB371WVwoD5k,10.1038/s42004-025-01839-x,openalex,ready,
1RY8i59hsB371WVwoD5k,10.1007/s12104-025-10251-4,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
1RY8i59hsB371WVwoD5k,10.1038/s41598-025-28860-3,openalex,ready,
1RrOCPTBlSn7oboW3nPN,10.1093/bjs/znaf236,openalex,ready,
1RrOCPTBlSn7oboW3nPN,10.1117/12.3067935,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
1RrOCPTBlSn7oboW3nPN,10.1145/3705305,openalex,ready,
1S91tXmCvy9E6T1lsd0G,10.1109/lsp.2025.3639345,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
1S91tXmCvy9E6T1lsd0G,10.1007/s00345-025-06156-5,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
1S91tXmCvy9E6T1lsd0G,10.1038/s41405-025-00391-z,openalex,ready,
1T0W8cLFapEbFfPddsF0,10.1038/s41598-025-29880-9,crossref,ready,
1T0W8cLFapEbFfPddsF0,10.1038/s41598-025-09826-x,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
1T0W8cLFapEbFfPddsF0,10.1038/s40494-026-02307-y,openalex,ready,
1TsUcjMZ06wfDotWvSLt,10.4108/airo.9975,openalex,ready,
1TsUcjMZ06wfDotWvSLt,10.1016/j.jshs.2025.101096,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
1TsUcjMZ06wfDotWvSLt,10.1186/s42238-025-00373-w,openalex,ready,
1VMGWsKghcFjEE5GKqR8,10.31643/2027/6445.07,openalex,ready,
1VMGWsKghcFjEE5GKqR8,10.1007/s10143-025-04016-9,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
1VMGWsKghcFjEE5GKqR8,10.1038/s41467-025-67413-0,openalex,ready,
1Wv0PXBQ6owC3OUjaMNk,10.1038/s41598-025-24834-7,openalex,ready,
1Wv0PXBQ6owC3OUjaMNk,10.1038/s41598-025-30259-z,openalex,ready,
1Wv0PXBQ6owC3OUjaMNk,10.1007/s11033-026-11448-z,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
1ZN05aO0S1cGJwOjnoF1,10.1080/19490976.2025.2611543,openalex,ready,
1ZN05aO0S1cGJwOjnoF1,10.1080/19490976.2025.2609461,openalex,ready,
1ZN05aO0S1cGJwOjnoF1,10.1186/s12864-025-12377-0,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
1a91FTrZuLlCGrSBqJvC,10.1038/s42004-025-01839-x,openalex,ready,
1a91FTrZuLlCGrSBqJvC,10.1007/s12104-025-10251-4,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
