eqnet_equipment_id,large_category_id,large_category_name,category_id,category_name_raw,category_small_name,equipment_count_hint,source_total,candidate_count,has_conflict
479,10,核磁気共鳴装置(NMR),18,500MHz NMR装置 (44 台),500MHz NMR装置,44,44,1,False
480,10,核磁気共鳴装置(NMR),14,300MHz NMR装置 (2 台),300MHz NMR装置,2,2,1,False
481,10,核磁気共鳴装置(NMR),16,400MHz NMR装置 (50 台),400MHz NMR装置,50,50,1,False
482,144,光学顕微鏡/病理,148,共焦点顕微鏡(Confocal microscopy) (50 台),共焦点顕微鏡(Confocal microscopy),50,50,1,False
483,39,構造解析/元素分析,47,電子スピン共鳴装置(ESR) (34 台),電子スピン共鳴装置(ESR),34,34,1,False
484,39,構造解析/元素分析,42,X線回折装置(XRD) (102 台),X線回折装置(XRD),102,102,1,False
485,39,構造解析/元素分析,42,X線回折装置(XRD) (102 台),X線回折装置(XRD),102,102,1,False
486,157,電子顕微鏡および関連機器,159,走査型電子顕微鏡 (SEM/EPMA/EBSD(結晶方位解析)) (142 台),走査型電子顕微鏡 (SEM/EPMA/EBSD(結晶方位解析)),142,142,1,False
487,10,核磁気共鳴装置(NMR),16,400MHz NMR装置 (50 台),400MHz NMR装置,50,50,1,False
489,130,質量分析装置(MS),140,ハイブリッドTOF-MS (12 台),ハイブリッドTOF-MS,12,12,1,False
490,130,質量分析装置(MS),136,LC-MS/LC-MS-MS(ハイブリッド) (14 台),LC-MS/LC-MS-MS(ハイブリッド),14,14,1,False
493,39,構造解析/元素分析,48,"粉末・薄膜X線回折、小角散乱(XRD, SAXS) (37 台)","粉末・薄膜X線回折、小角散乱(XRD, SAXS)",37,37,1,False
494,157,電子顕微鏡および関連機器,163,透過型電子顕微鏡 (TEM) (83 台),透過型電子顕微鏡 (TEM),83,83,1,False
497,10,核磁気共鳴装置(NMR),18,500MHz NMR装置 (44 台),500MHz NMR装置,44,44,1,False
499,39,構造解析/元素分析,42,X線回折装置(XRD) (102 台),X線回折装置(XRD),102,102,1,False
500,39,構造解析/元素分析,48,"粉末・薄膜X線回折、小角散乱(XRD, SAXS) (37 台)","粉末・薄膜X線回折、小角散乱(XRD, SAXS)",37,37,1,False
501,39,構造解析/元素分析,48,"粉末・薄膜X線回折、小角散乱(XRD, SAXS) (37 台)","粉末・薄膜X線回折、小角散乱(XRD, SAXS)",37,37,1,False
502,39,構造解析/元素分析,48,"粉末・薄膜X線回折、小角散乱(XRD, SAXS) (37 台)","粉末・薄膜X線回折、小角散乱(XRD, SAXS)",37,37,1,False
507,10,核磁気共鳴装置(NMR),20,600MHz NMR装置 (28 台),600MHz NMR装置,28,28,1,False
509,142,熱分析・熱測定装置,143,熱分析・熱測定装置 (59 台),熱分析・熱測定装置,59,59,1,False
511,188,成膜・蒸着・膜厚測定,189,エリプソメーター (14 台),エリプソメーター,14,14,1,False
512,26,光分析装置,30,赤外分光光度計/ラマン分光装置 (90 台),赤外分光光度計/ラマン分光装置,90,90,1,False
514,26,光分析装置,29,"光電子分光装置 (XPS, UPS, ESCA, PYS) (17 台)","光電子分光装置 (XPS, UPS, ESCA, PYS)",17,17,1,False
519,26,光分析装置,33,可視・紫外分光光度計 (30 台),可視・紫外分光光度計,30,30,1,False
522,39,構造解析/元素分析,41,ICP発光分析装置 (27 台),ICP発光分析装置,27,27,1,False
529,10,核磁気共鳴装置(NMR),18,500MHz NMR装置 (44 台),500MHz NMR装置,44,44,1,False
531,130,質量分析装置(MS),139,MALDI-TOF-MS (40 台),MALDI-TOF-MS,40,40,1,False
532,50,専用測定装置,54,メスバウアー分光装置(Moessbauer) (3 台),メスバウアー分光装置(Moessbauer),3,3,1,False
533,130,質量分析装置(MS),136,LC-MS/LC-MS-MS(ハイブリッド) (14 台),LC-MS/LC-MS-MS(ハイブリッド),14,14,1,False
534,130,質量分析装置(MS),136,LC-MS/LC-MS-MS(ハイブリッド) (14 台),LC-MS/LC-MS-MS(ハイブリッド),14,14,1,False
537,10,核磁気共鳴装置(NMR),16,400MHz NMR装置 (50 台),400MHz NMR装置,50,50,1,False
538,39,構造解析/元素分析,42,X線回折装置(XRD) (102 台),X線回折装置(XRD),102,102,1,False
544,26,光分析装置,29,"光電子分光装置 (XPS, UPS, ESCA, PYS) (17 台)","光電子分光装置 (XPS, UPS, ESCA, PYS)",17,17,1,False
545,157,電子顕微鏡および関連機器,159,走査型電子顕微鏡 (SEM/EPMA/EBSD(結晶方位解析)) (142 台),走査型電子顕微鏡 (SEM/EPMA/EBSD(結晶方位解析)),142,142,1,False
546,157,電子顕微鏡および関連機器,159,走査型電子顕微鏡 (SEM/EPMA/EBSD(結晶方位解析)) (142 台),走査型電子顕微鏡 (SEM/EPMA/EBSD(結晶方位解析)),142,142,1,False
549,39,構造解析/元素分析,44,蛍光X線装置 (37 台),蛍光X線装置,37,37,1,False
550,26,光分析装置,28,蛍光分光装置(FL) (26 台),蛍光分光装置(FL),26,26,1,False
551,157,電子顕微鏡および関連機器,164,"微細加工装置(EB, FIB他) (73 台)","微細加工装置(EB, FIB他)",73,73,1,False
552,157,電子顕微鏡および関連機器,163,透過型電子顕微鏡 (TEM) (83 台),透過型電子顕微鏡 (TEM),83,83,1,False
563,26,光分析装置,28,蛍光分光装置(FL) (26 台),蛍光分光装置(FL),26,26,1,False
564,39,構造解析/元素分析,47,電子スピン共鳴装置(ESR) (34 台),電子スピン共鳴装置(ESR),34,34,1,False
565,130,質量分析装置(MS),141,その他 (35 台),その他,35,35,1,False
566,10,核磁気共鳴装置(NMR),19,500MHz 固体NMR装置 (3 台),500MHz 固体NMR装置,3,3,1,False
567,10,核磁気共鳴装置(NMR),21,600MHz 固体NMR装置 (9 台),600MHz 固体NMR装置,9,9,1,False
568,10,核磁気共鳴装置(NMR),18,500MHz NMR装置 (44 台),500MHz NMR装置,44,44,1,False
569,10,核磁気共鳴装置(NMR),16,400MHz NMR装置 (50 台),400MHz NMR装置,50,50,1,False
570,10,核磁気共鳴装置(NMR),18,500MHz NMR装置 (44 台),500MHz NMR装置,44,44,1,False
571,10,核磁気共鳴装置(NMR),21,600MHz 固体NMR装置 (9 台),600MHz 固体NMR装置,9,9,1,False
572,10,核磁気共鳴装置(NMR),18,500MHz NMR装置 (44 台),500MHz NMR装置,44,44,1,False
574,39,構造解析/元素分析,42,X線回折装置(XRD) (102 台),X線回折装置(XRD),102,102,1,False
575,50,専用測定装置,53,グロー放電発光分析装置 (2 台),グロー放電発光分析装置,2,2,1,False
577,39,構造解析/元素分析,42,X線回折装置(XRD) (102 台),X線回折装置(XRD),102,102,1,False
581,157,電子顕微鏡および関連機器,159,走査型電子顕微鏡 (SEM/EPMA/EBSD(結晶方位解析)) (142 台),走査型電子顕微鏡 (SEM/EPMA/EBSD(結晶方位解析)),142,142,1,False
582,83,分離分析装置,86,液体クロマトグラフ(HPLC/UPLC) (34 台),液体クロマトグラフ(HPLC/UPLC),34,34,1,False
583,26,光分析装置,30,赤外分光光度計/ラマン分光装置 (90 台),赤外分光光度計/ラマン分光装置,90,90,1,False
584,10,核磁気共鳴装置(NMR),18,500MHz NMR装置 (44 台),500MHz NMR装置,44,44,1,False
585,74,物性計測/成分分析,79,"磁気特性測定装置(SQUID, VSM) (33 台)","磁気特性測定装置(SQUID, VSM)",33,33,1,False
586,26,光分析装置,30,赤外分光光度計/ラマン分光装置 (90 台),赤外分光光度計/ラマン分光装置,90,90,1,False
587,26,光分析装置,30,赤外分光光度計/ラマン分光装置 (90 台),赤外分光光度計/ラマン分光装置,90,90,1,False
588,26,光分析装置,30,赤外分光光度計/ラマン分光装置 (90 台),赤外分光光度計/ラマン分光装置,90,90,1,False
590,10,核磁気共鳴装置(NMR),18,500MHz NMR装置 (44 台),500MHz NMR装置,44,44,1,False
591,26,光分析装置,31,旋光計(polarimeter) (8 台),旋光計(polarimeter),8,8,1,False
595,106,画像撮影/解析,113,"核磁気共鳴イメージング(MRI), X線CT (XrayCT), PET (27 台)","核磁気共鳴イメージング(MRI), X線CT (XrayCT), PET",27,27,1,False
597,39,構造解析/元素分析,40,ICP/MS (15 台),ICP/MS,15,15,1,False
599,39,構造解析/元素分析,44,蛍光X線装置 (37 台),蛍光X線装置,37,37,1,False
600,26,光分析装置,28,蛍光分光装置(FL) (26 台),蛍光分光装置(FL),26,26,1,False
603,168,遺伝子・ゲノム,174,リアルタイムPCR装置 (40 台),リアルタイムPCR装置,40,40,1,False
607,39,構造解析/元素分析,42,X線回折装置(XRD) (102 台),X線回折装置(XRD),102,102,1,False
610,10,核磁気共鳴装置(NMR),18,500MHz NMR装置 (44 台),500MHz NMR装置,44,44,1,False
611,39,構造解析/元素分析,47,電子スピン共鳴装置(ESR) (34 台),電子スピン共鳴装置(ESR),34,34,1,False
613,7,ペプチド/タンパク解析装置,9,プロテインシーケンサー (4 台),プロテインシーケンサー,4,4,1,False
617,157,電子顕微鏡および関連機器,164,"微細加工装置(EB, FIB他) (73 台)","微細加工装置(EB, FIB他)",73,73,1,False
622,39,構造解析/元素分析,42,X線回折装置(XRD) (102 台),X線回折装置(XRD),102,102,1,False
623,74,物性計測/成分分析,79,"磁気特性測定装置(SQUID, VSM) (33 台)","磁気特性測定装置(SQUID, VSM)",33,33,1,False
