seq,doc_id,name,org_name,category_general,category_detail,papers_count
4057,rHg8K1s33CzjO9qN2835,軽元素同位体分析システム(MAT 253),九州大学 中央分析センター(伊都地区),,,3
4058,sEhCIv3XzxN2y6DoauwV,軽元素同位体分析システム(MAT 253),九州大学 人間環境学研究院部局管理装置,,,3
4059,EiVJCIoRR4A01wPepEgA,軽元素対応型超高分解能走査型透過電子顕微鏡 JEM-ARM200F(cold FE),東京大学,研究設備,,3
4060,kgo2jHREWNHQuPy3Yqu3,輸送現象測定システム,北海道大学,物性測定装置 (Physical Property Measurement Equipment),その他の物性測定装置 (Other Physical Property Measurement Equipment),3
4061,zcAMjNOiQpF8vobGc1aP,近赤外分光蛍光装置 (JASCO),お茶の水女子大学 共通機器センター,分光計,,3
4062,4INtQ0H2nxn9aLhDL8Qm,近赤外線用ファイバマルチチャンネル分光器,北海道大学,分光分析装置_HU (Spectroscopic Analysis Equipment),None,3
4063,MYlP5m1ItQ1Zxf0cc4mj,近赤外蛍光イメージングシステム (ODYSSEY CLx),北見工業大学 共用設備センター,分析・計測・試料作製関連,その他,3
4064,pKTyjtyTnk4kvfkgd2mF,近赤外蛍光イメージングシステム (ODYSSEY CLx),筑波大学 オープンファシリティー推進機構,生体物質解析装置,,3
4065,HL7GSfwtCurl1VjNzs6d,近赤外蛍光分光装置（NanoLOG-EXT）,九州大学 中央分析センター部局管理装置(筑紫地区),,,3
4066,HeP1XHAdBsVchflBjNFC,近赤外蛍光分光装置（NanoLOG-EXT）,九州大学 中央分析センター(筑紫地区),,,3
4067,KB3osrOSfFGCJgHK8Xxm,近赤外蛍光分光装置（NanoLOG-EXT）,九州大学 中央分析センター(伊都地区),,,3
4068,pbZtxZwknDgEW47Nne5s,近赤外蛍光分光装置（NanoLOG-EXT）,九州大学 工学研究院部局管理装置,,,3
4069,wjAVaM4VtgMbY3hzPccN,逆スパッタ機構,東京工業大学,半導体・MEMS加工,- / -,3
4070,rwtRHZoSNVhSxaOFXGMw,透過/走査型分析電子顕微鏡 JEM-2800,東京大学,研究設備,,3
4071,gr0KzXITLKGPIkhKXOfk,透過型分析電子顕微鏡（TEM）,室蘭工業大学 研究基盤設備共用センター,表面・分析評価,,3
4072,CoKMOHiQntHSvhckRDWw,透過型電子顕微鏡,北海道大学,顕微鏡(電子) (Electron Microscopes),透過型電子顕微鏡(TEM) (Transmission Electron Microscope (TEM)),3
4073,LZDtnW7QISHargJVW9tW,透過型電子顕微鏡,東京工業大学,分析,電磁気分析装置 / 透過電子顕微鏡（ＴＥＭ）,3
4074,UQANV93Ei1saQay6uzC8,透過型電子顕微鏡,山口大学 リサーチファシリティマネジメントセンター,電子顕微鏡および関連機器,コアファシリティ機器,3
4075,YWeSAopSI9CbKReM6U2N,透過型電子顕微鏡,北海道大学,顕微鏡(電子)_HU (Electron Microscopes),None,3
4076,pxbiHeo0N6o7v65bgAHU,透過型電子顕微鏡,東京農工大学 学術研究支援総合センター 機器分析施設,機器分析施設,,3
4077,qnleObqev1ryd28IxTZs,透過型電子顕微鏡,名古屋工業大学,分析装置・機器紹介,透過型電子顕微鏡室Ⅳ,3
4078,sIXUs94f9z50QI0Uwn2z,透過型電子顕微鏡,大阪大学 コアファシリティ機構 研究設備・機器共通予約システム,電子顕微鏡,TEM,3
4079,uDPolDEhE3U0HsyKHWQ5,透過型電子顕微鏡,佐賀大学 総合分析実験センター,研究設備,全学1,3
4080,x5Lg8MDGN76uFkt7DpNh,透過型電子顕微鏡,長崎大学,水産・環境科学総合研究科共用システム,形態観察,3
4081,m9K7TNFrswJubnPkh3Dk,透過型電子顕微鏡 (JEM-1400),広島大学 自然科学研究支援開発センター 機器共用・分析部門,電子顕微鏡(EM) (関連機器も含む),,3
4082,knIoSdETixVkU34pSnjs,透過型電子顕微鏡 (JEM-1400Plus),広島大学 自然科学研究支援開発センター 機器共用・分析部門,電子顕微鏡(EM) (関連機器も含む),,3
4083,O2HJHrSOPs99Ww6ibzdC,透過型電子顕微鏡 (日本電子製) JEM-2100,愛媛大学 学術支援センター 物質科学研究支援部門,大型機器,,3
4084,ozOCOvoE6Sw2VpxWrhDG,透過型電子顕微鏡 FEI TECNAI F20,熊本大学工学部附属工学研究機器センター,TEM室,,3
4085,80l6onm7YxwHGVHoUaHY,透過型電子顕微鏡 JEM-1400,筑波大学 オープンファシリティー推進機構,電子顕微鏡,,3
4086,UwLoFVwR3rn8qsTwyF7S,透過型電子顕微鏡 JEM-1400Flash,東京大学,研究設備,,3
4087,M4cNVRn5mr4GoWFyx0lx,透過型電子顕微鏡 JEM-2010F,東京大学,研究設備,,3
4088,xwKJE6JnCTMyr9Xiyz38,透過型電子顕微鏡 Talos F200S G2,東京大学,研究設備,,3
4089,G14JIZ7u4aUr8Fc1562O,透過型電子顕微鏡 日本電子JEM-1400,新潟大学 医学部医学科,電子顕微鏡,,3
4090,oVr7tUmgITaYn2Ybs5A7,透過型電子顕微鏡 日本電子株式会社 JEM-2100plus,熊本大学工学部附属工学研究機器センター,自然科学研究科研究棟 電子顕微鏡室102,,3
4091,NTmewTKNjxmQfDq2hHI5,透過型電子顕微鏡(3D-TEM),名古屋工業大学,分析装置・機器紹介,透過型電子顕微鏡室Ⅲ,3
4092,14rIojvxm5PuFJCrmkVq,透過型電子顕微鏡(TEM),名古屋工業大学,分析装置・機器紹介,透過型電子顕微鏡室Ⅲ,3
4093,I5E4QK1xcviAEZ1LyGWY,透過型電子顕微鏡(TEM),帯広畜産大学 産学連携センター 共同利用設備ステーション,共同利用設備ステーション,顕微鏡,3
4094,BLmkFMCKUSyukVvsZw9L,透過型電子顕微鏡(TEM) (JEM-F200(CF-HR)),北見工業大学 共用設備センター,分析・計測・試料作製関連,顕微鏡,3
4095,g83TBpAgjK3AgvlpZkb0,透過型電子顕微鏡(TEM) HT7700,京都大学 工学部・大学院工学研究科,化学系 コアラボ,,3
4096,H9F1wdIK2L3Sf1fvyrSs,透過型電子顕微鏡(菅平) H7700,筑波大学 オープンファシリティー推進機構,電子顕微鏡,,3
